nome_municipio,codigo_ibge
JARAGUÁ DO SUL,4208906
MAJOR VIEIRA,4210308
MONTE CASTELO,4211108
SCHROEDER,4217402
TRÊS BARRAS,4218301
CORREIA PINTO,4204558
LAGES,4209300
URUBICI,4218905
ANITA GARIBALDI,4201000
BOCAINA DO SUL,4202438
BOM JARDIM DA SERRA,4202503
BOM RETIRO,4202602
CERRO NEGRO,4204178
PONTE ALTA,4213302
RIO RUFINO,4215059
SÃO CRISTÓVÃO DO SUL,4216057
SÃO JOSÉ DO CERRITO,4216800
URUPEMA,4218954
CAPÃO ALTO,4203253
CAMPO BELO DO SUL,4203402
PONTE ALTA DO NORTE,4213351
SANTA CECÍLIA,4215505
SÃO JOAQUIM,4216503
CURITIBANOS,4204806
FREI ROGÉRIO,4205555
OTACÍLIO COSTA,4211751
PAINEL,4211892
PALMEIRA,4212056
NAVEGANTES,4211306
ITAJAÍ,4208203
PENHA,4212502
CAMBORIÚ,4203204
BALNEÁRIO CAMBORIÚ,4202008
BOMBINHAS,4202453
ITAPEMA,4208302
PORTO BELO,4213500
BALNEÁRIO PIÇARRAS,4212809
FORQUILHINHA,4205456
IÇARA,4207007
NOVA VENEZA,4211603
CRICIÚMA,4204608
SIDERÓPOLIS,4217600
MORRO DA FUMAÇA,4211207
COCAL DO SUL,4204251
SÃO JOÃO DO SUL,4216404
MARACAJÁ,4210407
TURVO,4218806
MORRO GRANDE,4211256
URUSSANGA,4219002
BALNEÁRIO GAIVOTA,4202073
LAURO MÜLLER,4209607
ERMO,4205191
SANTA ROSA DO SUL,4215653
PRAIA GRANDE,4213807
PASSO DE TORRES,4212254
ARARANGUÁ,4201406
MELEIRO,4210803
JACINTO MACHADO,4208708
BALNEÁRIO ARROIO DO SILVA,4201950
BALNEÁRIO RINCÃO,4220000
TREVISO,4218350
TIMBÉ DO SUL,4218103
SOMBRIO,4217709
TUBARÃO,4218707
GRAVATAL,4206207
CAPIVARI DE BAIXO,4203956
SÃO LUDGERO,4217006
ORLEANS,4211702
SANGÃO,4215455
IMBITUBA,4207304
IMARUÍ,4207205
SANTA ROSA DE LIMA,4215604
GRÃO-PARÁ,4206108
ARMAZÉM,4201505
TREZE DE MAIO,4218400
BRAÇO DO NORTE,4202800
PESCARIA BRAVA,4212650
RIO FORTUNA,4214904
LAGUNA,4209409
SÃO MARTINHO,4217105
PEDRAS GRANDES,4212403
JAGUARUNA,4208807
IBIRAMA,4206900
RIO DO SUL,4214805
ITUPORANGA,4208500
TAIÓ,4217808
AGROLÂNDIA,4200200
AURORA,4201901
BRAÇO DO TROMBUDO,4202859
IMBUIA,4207403
PETROLÂNDIA,4212700
PRESIDENTE NEREU,4214102
RIO DO CAMPO,4214508
JOSÉ BOITEUX,4209151
LAURENTINO,4209508
LONTRAS,4209904
MIRIM DOCE,4210852
POUSO REDONDO,4213708
PRESIDENTE GETÚLIO,4214003
RIO DO OESTE,4214607
SALETE,4215307
SANTA TEREZINHA,4215679
TROMBUDO CENTRAL,4218608
WITMARSUM,4219408
CHAPADÃO DO LAGEADO,4204194
VITOR MEIRELES,4219358
VIDAL RAMOS,4219200
DONA EMMA,4205100
AGRONÔMICA,4200309
ATALANTA,4201802
ÁGUAS FRIAS,4200556
ARVOREDO,4201653
CORONEL FREITAS,4204400
CORDILHEIRA ALTA,4204350
CHAPECÓ,4204202
SEARA,4217501
XANXERÊ,4219507
SAUDADES,4217303
PINHALZINHO,4212908
NOVA ITABERABA,4211454
GUATAMBÚ,4206652
SÃO CARLOS,4216008
PLANALTO ALEGRE,4213153
PAIAL,4211876
NOVA ERECHIM,4211405
XAXIM,4219705
ÁGUAS DE CHAPECÓ,4200507
MAREMA,4210555
CUNHATAÍ,4204756
FAXINAL DOS GUEDES,4205308
QUILOMBO,4214201
PONTE SERRADA,4213401
VARGEÃO,4219101
PASSOS MAIA,4212270
LAJEADO GRANDE,4209458
ITÁ,4208005
PALMITOS,4212106
CAXAMBU DO SUL,4204103
UNIÃO DO OESTE,4218855
XAVANTINA,4219606
SUL BRASIL,4217758
SERRA ALTA,4217550
SÃO JOSÉ DO CEDRO,4216701
DESCANSO,4204905
CUNHA PORÃ,4204707
TUNÁPOLIS,4218756
SÃO MIGUEL DO OESTE,4217204
SÃO JOÃO DO OESTE,4216255
SANTA HELENA,4215554
PRINCESA,4214151
PARAÍSO,4212239
GUARUJÁ DO SUL,4206603
GUARACIABA,4206405
FLOR DO SERTÃO,4205357
ROMELÂNDIA,4215208
MARAVILHA,4210506
ITAPIRANGA,4208401
IRACEMINHA,4207759
IPORÃ DO OESTE,4207650
BANDEIRANTE,4202081
BELMONTE,4202156
BARRA BONITA,4202099
DIONÍSIO CERQUEIRA,4205001
SÃO LOURENÇO DO OESTE,4216909
ABELARDO LUZ,4200101
SÃO BERNARDINO,4215752
SÃO DOMINGOS,4216107
ENTRE RIOS,4205175
SALTINHO,4215356
FORMOSA DO SUL,4205431
RIQUEZA,4215075
PALMA SOLA,4212007
MODELO,4210902
TIGRINHOS,4217956
JUPIÁ,4209177
JARDINÓPOLIS,4208955
OURO VERDE,4211850
IRATI,4207858
NOVO HORIZONTE,4211652
MONDAÍ,4211009
BOM JESUS,4202537
IPUAÇU,4207684
CAMPO ERÊ,4203501
CAIBI,4203105
BOM JESUS DO OESTE,4202578
SANTA TEREZINHA DO PROGRESSO,4215687
CORONEL MARTINS,4204459
ANCHIETA,4200804
SÃO MIGUEL DA BOA VISTA,4217154
GALVÃO,4205605
SANTIAGO DO SUL,4215695
TANGARÁ,4217907
TREZE TÍLIAS,4218509
VARGEM,4219150
ZORTÉA,4219853
ABDON BATISTA,4200051
ÁGUA DOCE,4200408
ALTO BELA VISTA,4200754
ARABUTÃ,4201273
ARROIO TRINTA,4201604
BRUNÓPOLIS,4202875
CAMPOS NOVOS,4203600
CAÇADOR,4203006
CALMON,4203154
CAPINZAL,4203907
CATANDUVAS,4204004
CELSO RAMOS,4204152
IBICARÉ,4206801
IOMERÊ,4207577
LEBON RÉGIS,4209706
LINDÓIA DO SUL,4209854
LUZERNA,4210035
MONTE CARLO,4211058
OURO,4211801
PERITIBA,4212601
PINHEIRO PRETO,4213005
SALTO VELOSO,4215406
ERVAL VELHO,4205209
FRAIBURGO,4205506
HERVAL D'OESTE,4206702
IBIAM,4206751
IPIRA,4207601
IPUMIRIM,4207700
IRANI,4207809
JABORÁ,4208609
JOAÇABA,4209003
LACERDÓPOLIS,4209201
MACIEIRA,4210050
MATOS COSTA,4210704
PIRATUBA,4213104
PRESIDENTE CASTELLO BRANCO,4213906
RIO DAS ANTAS,4214409
TIMBÓ GRANDE,4218251
VARGEM BONITA,4219176
VIDEIRA,4219309
CONCÓRDIA,4204301
NOVO HAMBURGO,4313409
VIAMÃO,4323002
NOVA SANTA RITA,4313375
ALVORADA,4300604
ARARICÁ,4300877
ARROIO DOS RATOS,4301107
CACHOEIRINHA,4303103
CAMPO BOM,4303905
CANOAS,4304606
CAPELA DE SANTANA,4304689
CHARQUEADAS,4305355
DOIS IRMÃOS,4306403
ELDORADO DO SUL,4306767
ESTÂNCIA VELHA,4307609
ESTEIO,4307708
GLORINHA,4309050
GRAVATAÍ,4309209
GUAÍBA,4309308
IGREJINHA,4310108
IVOTI,4310801
MONTENEGRO,4312401
NOVA HARTZ,4313060
PAROBÉ,4314050
PORTÃO,4314803
PORTO ALEGRE,4314902
ROLANTE,4316006
SANTO ANTÔNIO DA PATRULHA,4317608
SÃO JERÔNIMO,4318408
SÃO LEOPOLDO,4318705
SÃO SEBASTIÃO DO CAÍ,4319505
SAPIRANGA,4319901
SAPUCAIA DO SUL,4320008
TAQUARA,4321204
TRIUNFO,4322004
SANTA TEREZA,4317251
IPÊ,4310439
ANTÔNIO PRADO,4300802
BENTO GONÇALVES,4302105
CARLOS BARBOSA,4304804
CAXIAS DO SUL,4305108
SÃO MARCOS,4319000
FLORES DA CUNHA,4308201
GARIBALDI,4308607
MONTE BELO DO SUL,4312385
NOVA PÁDUA,4313086
NOVA ROMA DO SUL,4313359
PINTO BANDEIRA,4314548
FARROUPILHA,4307906
ACORIZAL,5100102
CHAPADA DOS GUIMARÃES,5103007
SANTO ANTÔNIO DE LEVERGER,5107800
CUIABÁ,5103403
VÁRZEA GRANDE,5108402
CAMPO VERDE,5102678
NOSSA SENHORA DO LIVRAMENTO,5106109
ROSÁRIO OESTE,5107701
POCONÉ,5106505
PLANALTO DA SERRA,5106455
NOVA BRASILÂNDIA,5106208
NOBRES,5105903
JANGADA,5104906
BARÃO DE MELGAÇO,5101605
APARECIDA DE GOIÂNIA,5201405
TRINDADE,5221403
CALDAZINHA,5204557
CATURAÍ,5205208
GOIANÁPOLIS,5208400
GOIÂNIA,5208707
GOIANIRA,5208806
GUAPÓ,5209200
HIDROLÂNDIA,5209705
INHUMAS,5210000
NERÓPOLIS,5214507
NOVA VENEZA,5215009
SANTO ANTÔNIO DE GOIÁS,5219738
SENADOR CANEDO,5220454
TEREZÓPOLIS DE GOIÁS,5221197
ABADIA DE GOIÁS,5200050
BELA VISTA DE GOIÁS,5203302
BONFINÓPOLIS,5203559
BRAZABRANTES,5203609
SANTA BÁRBARA DE GOIÁS,5219100
ARAGOIÂNIA,5201801
BURITIS,3109303
ARINOS,3104502
ABADIÂNIA,5200100
ÁGUA FRIA DE GOIÁS,5200175
ÁGUAS LINDAS DE GOIÁS,5200258
ALTO PARAÍSO DE GOIÁS,5200605
ALVORADA DO NORTE,5200803
BARRO ALTO,5203203
COCALZINHO DE GOIÁS,5205513
CORUMBÁ DE GOIÁS,5205802
FLORES DE GOIÁS,5207907
FORMOSA,5208004
GOIANÉSIA,5208608
LUZIÂNIA,5212501
MIMOSO DE GOIÁS,5213053
NIQUELÂNDIA,5214606
NOVO GAMA,5215231
PADRE BERNARDO,5215603
SANTO ANTÔNIO DO DESCOBERTO,5219753
SÃO JOÃO D'ALIANÇA,5220009
SIMOLÂNDIA,5220686
VILA PROPÍCIO,5222302
ALEXÂNIA,5200308
CABECEIRAS,5204003
CAVALCANTE,5205307
CIDADE OCIDENTAL,5205497
CRISTALINA,5206206
PIRENÓPOLIS,5217302
PLANALTINA,5217609
VALPARAÍSO DE GOIÁS,5221858
VILA BOA,5222203
BRASÍLIA,5300108
UNAÍ,3170404
CABECEIRA GRANDE,3109451
NOVA ALIANÇA,3532801
MIRASSOLÂNDIA,3530409
MIRASSOL,3530300
MENDONÇA,3529500
MACAUBAL,3528106
JOSÉ BONIFÁCIO,3525706
JACI,3524501
BADY BASSITT,3504602
CEDRAL,3511300
NEVES PAULISTA,3532504
NIPOÃ,3532702
OLÍMPIA,3533908
SÃO JOSÉ DO RIO PRETO,3549805
SEVERÍNIA,3551900
UBARANA,3555356
UNIÃO PAULISTA,3555703
URUPÊS,3556008
IBIRÁ,3519402
ICÉM,3519808
IPIGUÁ,3521150
IRAPUÃ,3521507
ADOLFO,3500204
BÁLSAMO,3504800
MONTE APRAZÍVEL,3531407
NOVA GRANADA,3533007
ONDA VERDE,3534005
ORINDIÚVA,3534203
PALESTINA,3535002
PAULO DE FARIA,3536604
PLANALTO,3539608
POLONI,3539905
POTIRENDABA,3540804
SALES,3544806
TANABI,3553401
UCHOA,3555604
ZACARIAS,3557154
GUAPIAÇU,3517505
VÁRZEA PAULISTA,3556503
CAMPO LIMPO PAULISTA,3509601
CABREÚVA,3508405
JUNDIAÍ,3525904
LOUVEIRA,3527306
JARINU,3525201
ITUPEVA,3524006
LEME,3526704
LIMEIRA,3526902
ARARAS,3503307
CAPIVARI,3510401
CHARQUEADA,3511706
CONCHAL,3512209
CORDEIRÓPOLIS,3512407
CORUMBATAÍ,3512704
SÃO PEDRO,3550407
RIO CLARO,3543907
ÁGUAS DE SÃO PEDRO,3500600
ANALÂNDIA,3502002
PIRACICABA,3538709
PIRASSUNUNGA,3539301
RAFARD,3542107
RIO DAS PEDRAS,3544004
SALTINHO,3545159
SANTA CRUZ DA CONCEIÇÃO,3546207
SANTA GERTRUDES,3546702
SANTA MARIA DA SERRA,3547007
ELIAS FAUSTO,3514908
IPEÚNA,3521101
IRACEMÁPOLIS,3521408
MOMBUCA,3530904
MATÕES,2106607
CAXIAS,2103000
ALDEIAS ALTAS,2100303
SÃO JOÃO DO SOTER,2111078
CODÓ,2103307
PARNARAMA,2107803
ILHA GRANDE,2204659
CAJUEIRO DA PRAIA,2202083
PARNAÍBA,2207702
LUÍS CORREIA,2205706
IGARAPÉ GRANDE,2105203
TRIZIDELA DO VALE,2112233
BERNARDO DO MEARIM,2101939
PEDREIRAS,2108207
JOSELÂNDIA,2105609
POÇÃO DE PEDRAS,2108900
LIMA CAMPOS,2106003
LAGO DOS RODRIGUES,2105948
